Parameter,Suite,Precision,Accuracy,Representativeness,Completeness,Comparability,Detection/Quanitiation
Ammonia,Screening,,,,,,
TKN,Screening,,,,,,
Nitrate,Screening,,,,,,
Nitrite,Screening,,,,,,
Total Nitrogen,Screening,,,,,,
Total Phosphorus,Screening,,,,,,
Turbidity,Screening,,,,,,
Alkalinity,Screening,,,,,,
Hardness,Screening,,,,,,
Chloride,Screening,,,,,,
Magnesium,Screening,,,,,,
Total Iron,Screening,,,,,,
Total Arsenic,Screening,,,,,,
Total Silver,Screening,,,,,,
Total Aluminum,Screening,,,,,,
Total Cadmium,Screening,,,,,,
Total Copper,Screening,,,,,,
Total Lead,Screening,,,,,,
Total Nickel,Screening,,,,,,
Total Zinc,Screening,,,,,,
Ammonia ,Routine,,,,,,
TKN ,Routine,,,,,,
Nitrate ,Routine,,,,,,
Nitrite ,Routine,,,,,,
Total Nitrogen ,Routine,,,,,,
Total Phosphorus ,Routine,,,,,,
Ortho-phosphate ,Routine,,,,,,
Total Dissolved Solids ,Routine,,,,,,
Turbidity ,Routine,,,,,,
Dissolved Organic Carbon ,Routine,,,,,,
Alkalinity ,Routine,,,,,,
Hardness ,Routine,,,,,,
Calcium ,Routine,,,,,,
Magnesium ,Routine,,,,,,
Potassium ,Routine,,,,,,
Sodium ,Routine,,,,,,
Chloride ,Routine,,,,,,
Fluoride ,Routine,,,,,,
Sulfate ,Routine,,,,,,
Iron ,Routine,,,,,,
Manganese ,Routine,,,,,,
Arsenic ,Routine,,,,,,
Silver ,Routine,,,,,,
Mercury ,Routine,,,,,,
Soluble Aluminum ,Routine,,,,,,
Soluble Cadmium ,Routine,,,,,,
Soluble Copper ,Routine,,,,,,
Soluble Lead ,Routine,,,,,,
Soluble Nickel ,Routine,,,,,,
Soluble Zinc ,Routine,,,,,,
