"","FINAL_ID","PHYLUM","CLASS","ORDER","FAMILY","SUBFAMILY","GENUS","SPECIES","FEEDINGHAB","TOLERANCE","NBI_P_TOLERANCE","NBI_N_TOLERANCE","TOLNAME","CLASSIFIER","PREVNAMES","COMMONNAME","REFERENCE"
"1","ABLABESMYIA_MONILIS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","ablabesmyia","ablabesmyia_monilis","PREDATOR",8,NA,NA,"TOLERANT",NA,"ABLABESMYIA_BASALIS,_ABLABESMYIA_PARAJANTA",NA,"95"
"2","ABLABESMYIA_ANNULATA","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","ablabesmyia","ablabesmyia_annulata","PREDATOR",8,NA,NA,"TOLERANT",NA,"ABLABESMYIA_SP._4",NA,"95"
"3","NANOCLADIUS_NR._BALTICUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","nanocladius","nanocladius_balticus","GATHERER",7,NA,NA,"FACULTATIVE",NA,"ACAMPTOCLADIUS_SP.,_PHYCOIDELLA_SP.,_PSECTROCLADIUS_SP._5,_CARDIOCLADIUS_SP._2",NA,"100"
"4","ACRICOTOPUS_NITIDELLUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","acricotopus","acricotopus_nitidellus","GATHERER",10,NA,NA,"TOLERANT",NA,"ACRICOTOPUS_SP.",NA,"124,36"
"5","PARAGNETINA_MEDIA","ARTHROPODA","INSECTA","PLECOPTERA","PERLIDAE","PERLINAE","paragnetina","paragnetina_media","PREDATOR",4,6,3,"INTOLERANT",NA,"ACRONEURIA_RURALIS",NA,"55114"
"6","CALOPTERYX_SP.","ARTHROPODA","INSECTA","ODONATA","CALOPTERYGIDAE","CALOPTERYGIDAE","calopteryx","NA","PREDATOR",6,NA,NA,"FACULTATIVE",NA,"AGRION_SP.",NA,"83122"
"7","PTERONARCYS_BILOBA","ARTHROPODA","INSECTA","PLECOPTERA","PTERONARCYIDAE","PTERONARCYINAE","pteronarcys","pteronarcys_biloba","SHREDDER",0,NA,NA,"INTOLERANT",NA,"ALLONARCYS_BILOBA",NA,"30"
"8","ALOTANYPUS_ARIS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","alotanypus","alotanypus_aris","PREDATOR",9,NA,NA,"TOLERANT",NA,"ALOTANYPUS_SP.",NA,"36"
"9","CINCINNATIA_CINCINNATIENSIS","MOLLUSCA","GASTROPODA","NEOTAENIOGLOSSA","HYDROBIIDAE","HYDROBIIDAE","cincinnatia","cincinnatia_cincinnatiensis","SCRAPER",5,NA,NA,"FACULTATIVE",NA,"AMNICOLA_INTEGRA",NA,"60,83"
"10","AMNICOLA_DECEPTA","MOLLUSCA","GASTROPODA","NEOTAENIOGLOSSA","HYDROBIIDAE","HYDROBIIDAE","amnicola","amnicola_decepta","SCRAPER",5,NA,NA,"FACULTATIVE",NA,"AMNICOLA_LUSTRICA",NA,"83,60"
"11","APSECTROTANYPUS_JOHNSONI","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","apsectrotanypus","apsectrotanypus_johnsoni","PREDATOR",7,NA,NA,"FACULTATIVE",NA,"APSECTROTANYPUS_SP.",NA,"92,36"
"12","CAECIDOTEA_COMMUNIS","ARTHROPODA","MALACOSTRACA","ISOPODA","ASELLIDAE","ASELLIDAE","caecidotea","caecidotea_communis","GATHERER",8,NA,NA,"TOLERANT",NA,"ASELLUS_COMMUNIS",NA,"108,_126"
"13","CAECIDOTEA_NR._RACOVITZAI","ARTHROPODA","MALACOSTRACA","ISOPODA","ASELLIDAE","ASELLIDAE","caecidotea","caecidotea_racovitzai","GATHERER",8,NA,NA,"TOLERANT",NA,"ASELLUS_NR._RACOVITZAI",NA,"108126"
"14","CAECIDOTEA_RACOVITZAI","ARTHROPODA","MALACOSTRACA","ISOPODA","ASELLIDAE","ASELLIDAE","caecidotea","caecidotea_racovitzai","GATHERER",8,6,2,"TOLERANT",NA,"ASELLUS_RACOVITZAI",NA,"108,_126"
"15","CAECIDOTEA_RACOVITZAI_RACOVITZAI","ARTHROPODA","MALACOSTRACA","ISOPODA","ASELLIDAE","ASELLIDAE","caecidotea","caecidotea_racovitzai","GATHERER",8,NA,NA,"TOLERANT",NA,"ASELLUS_RACOVITZAI_RACOVITZAI",NA,"108126"
"16","CAECIDOTEA_SP.","ARTHROPODA","MALACOSTRACA","ISOPODA","ASELLIDAE","ASELLIDAE","caecidotea","NA","GATHERER",8,7,9,"TOLERANT",NA,"ASELLUS_SP.",NA,"108"
"17","CLADOTANYTARSUS_SP._4","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","cladotanytarsus","NA","FILTERER",5,NA,NA,"FACULTATIVE",NA,"ATANYTARSUS_SP._1,_MICROPSECTRA_SP._4",NA,"87"
"18","CERACLEA_SP.","ARTHROPODA","INSECTA","TRICHOPTERA","LEPTOCERIDAE","LEPTOCERINAE","ceraclea","NA","GATHERER",3,NA,NA,"INTOLERANT",NA,"ATHRIPSODES_SP._2",NA,"125"
"19","DERO_FURCATA","ANNELIDA","CLITELLATA","TUBIFICIDA","NAIDIDAE","NAIDINAE","dero","dero_furcata","GATHERER",10,NA,NA,"TOLERANT",NA,"AULOPHORUS_FURCATUS",NA,"18,83"
"20","DERO_SP.","ANNELIDA","CLITELLATA","TUBIFICIDA","NAIDIDAE","NAIDINAE","dero","NA","GATHERER",10,NA,NA,"TOLERANT",NA,"AULOPHORUS_SP.",NA,"18,83"
"21","ACENTRELLA_AMPLA","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","heterocloeon","heterocloeon_amplum","GATHERER",6,NA,NA,"FACULTATIVE",NA,"BAETIS_AMPLUS",NA,"74119"
"22","DIPHETOR_HAGENI","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","diphetor","diphetor_hageni","GATHERER",6,NA,NA,"FACULTATIVE",NA,"BAETIS_HAGENI",NA,"74"
"23","ACERPENNA_MACDUNNOUGHI","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","acerpenna","acerpenna_macdunnoughi","GATHERER",5,NA,NA,"FACULTATIVE",NA,"BAETIS_MACDUNNOUGHI",NA,"74120"
"24","ACERPENNA_PYGMAEA","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","acerpenna","acerpenna_pygmaea","GATHERER",4,0,4,"INTOLERANT",NA,"BAETIS_PYGMAEUS",NA,"74120"
"25","BRACHYCENTRUS_APPALACHIA","ARTHROPODA","INSECTA","TRICHOPTERA","BRACHYCENTRIDAE","BRACHYCENTRIDAE","brachycentrus","brachycentrus_appalachia","FILTERER",0,3,4,"INTOLERANT",NA,"BRACHYCENTRUS_SP._1",NA,"42"
"26","BRACHYCENTRUS_NUMEROSUS","ARTHROPODA","INSECTA","TRICHOPTERA","BRACHYCENTRIDAE","BRACHYCENTRIDAE","brachycentrus","brachycentrus_numerosus","FILTERER",1,NA,NA,"INTOLERANT",NA,"BRACHYCENTRUS_SP._2",NA,"42"
"27","BRACHYCENTRUS_INCANUS","ARTHROPODA","INSECTA","TRICHOPTERA","BRACHYCENTRIDAE","BRACHYCENTRIDAE","brachycentrus","brachycentrus_incanus","FILTERER",0,NA,NA,"INTOLERANT",NA,"BRACHYCENTRUS_SP._3",NA,"42"
"28","BRILLIA_FLAVIFRONS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","brillia","brillia_flavifrons","SHREDDER",5,NA,NA,"FACULTATIVE",NA,"BRILLIA_SP._1",NA,"80"
"29","CAENIS_LATIPENNIS","ARTHROPODA","INSECTA","EPHEMEROPTERA","CAENIDAE","CAENINAE","caenis","caenis_latipennis","GATHERER",6,NA,NA,"FACULTATIVE",NA,"CAENIS_SP.",NA,"84"
"30","CAENIS_ANCEPS","ARTHROPODA","INSECTA","EPHEMEROPTERA","CAENIDAE","CAENINAE","caenis","caenis_anceps","GATHERER",6,NA,NA,"FACULTATIVE",NA,"CAENIS_SP.",NA,"84"
"31","CARDIOCLADIUS_OBSCURUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","cardiocladius","cardiocladius_obscurus","PREDATOR",5,8,6,"FACULTATIVE",NA,"CARDIOCLADIUS_SP._1",NA,"106,83"
"32","EUKIEFFERIELLA_DEVONICA_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","eukiefferiella","eukiefferiella_devonica","GATHERER",4,9,9,"INTOLERANT",NA,"CARDIOCLADIUS_SP._4,_EUKIEFFERIELLA_SP._6",NA,"13"
"33","CHAETOGASTER_DIAPHANUS","ANNELIDA","CLITELLATA","TUBIFICIDA","NAIDIDAE","NAIDINAE","chaetogaster","chaetogaster_diaphanus","PREDATOR",7,NA,NA,"FACULTATIVE",NA,"CHAETOGASTER_CRISTALLINUS",NA,"18,83"
"34","CHIMARRA_OBSCURA","ARTHROPODA","INSECTA","TRICHOPTERA","PHILOPOTAMIDAE","CHIMARRINAE","chimarra","chimarra_obscura","FILTERER",4,6,4,"INTOLERANT",NA,"CHIMARRA_OBSCURA?",NA,"125,98"
"35","CHIRONOMUS_RIPARIUS_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","chironomus","chironomus_riparius","GATHERER",10,NA,NA,"TOLERANT",NA,"CHIRONOMUS_SP._2",NA,"81"
"36","RASVENA_TERNA","ARTHROPODA","INSECTA","PLECOPTERA","CHLOROPERLIDAE","CHLOROPERLINAE","rasvena","rasvena_terna","GATHERER",0,NA,NA,"INTOLERANT",NA,"CHLOROPERLA_SP.",NA,"114"
"37","CLADOTANYTARSUS_SP._2","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","cladotanytarsus","NA","FILTERER",5,NA,NA,"FACULTATIVE",NA,"CLADOTANYTARSUS?_SP.,_TANYTARSUS_SP._5",NA,"87"
"38","PARATANYTARSUS_DIMORPHIS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","paratanytarsus","paratanytarsus_dimorphis","FILTERER",6,NA,NA,"FACULTATIVE",NA,"CLADOTANYTARSUS_SP._3,_PARATANYTARSUS_SP._A,_PARATANYTARSUS_SP._2,__TANYTARSUS_SP._2",NA,"87"
"39","MEROPELOPIA_AMERICANA","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","conchapelopia","conchapelopia_americana","PREDATOR",6,NA,NA,"FACULTATIVE",NA,"CONCHAPELOPIA_AMERICANA",NA,"94,36"
"40","MEROPELOPIA_FLAVIFRONS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","conchapelopia","conchapelopia_flavifrons","PREDATOR",6,NA,NA,"FACULTATIVE",NA,"CONCHAPELOPIA_FLAVIFRONS",NA,"94,36"
"41","HELOPELOPIA_CORNUTICAUDATA","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","conchapelopia","conchapelopia_cornuticaudata","PREDATOR",6,NA,NA,"FACULTATIVE",NA,"CONCHAPELOPIA_SP._2",NA,"94124"
"42","STEMPELLINA_JOHANNSENI","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","stempellina","stempellina_johannsenii","GATHERER",2,NA,NA,"INTOLERANT",NA,"CONSTEMPELLINA_SP._2",NA,"21"
"43","CORYDALUS_CORNUTUS","ARTHROPODA","INSECTA","MEGALOPTERA","CORYDALIDAE","CORYDALINAE","corydalus","corydalus_cornutus","PREDATOR",4,2,2,"INTOLERANT",NA,"CORYDALUS_SP.",NA,"83,37"
"44","CORYNONEURA_NR._CELERIPES","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","corynoneura","corynoneura_celeripes","GATHERER",4,NA,NA,"INTOLERANT",NA,"CORYNONEURA_CELERIPES",NA,"106"
"45","THIENEMANNIELLA_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","thienemanniella","NA","GATHERER",6,NA,NA,"FACULTATIVE",NA,"CORYNONEURA_SP.",NA,"124,83"
"46","CORYNONEURA_LOBATA","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","corynoneura","corynoneura_lobata","GATHERER",4,NA,NA,"INTOLERANT",NA,"CORYNONEURA_TARIS",NA,"106,36"
"47","PARATRICHOCLADIUS_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","paratrichocladius","NA","SHREDDER",5,NA,NA,"FACULTATIVE",NA,"CRICOTOPUS_REVERSUS_GR.",NA,"124,83"
"48","CRICOTOPUS_ABSURDUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","cricotopus","cricotopus_absurdus","SHREDDER",5,NA,NA,"FACULTATIVE",NA,"CRICOTOPUS_REVERSUS_GR.,_CRICOTOPUS_SP._9",NA,"106,36"
"49","CRICOTOPUS_TREMULUS_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","cricotopus","cricotopus_tremulus","SHREDDER",7,8,9,"FACULTATIVE",NA,"CRICOTOPUS_SP._1",NA,"106107"
"50","CRICOTOPUS_TRIFASCIA_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","cricotopus","cricotopus_trifascia","SHREDDER",6,9,9,"FACULTATIVE",NA,"CRICOTOPUS_SP._2",NA,"106107"
"51","CRICOTOPUS_BICINCTUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","cricotopus","cricotopus_bicinctus","SCRAPER",7,7,6,"TOLERANT",NA,"CRICOTOPUS_SP._3",NA,"106107"
"52","ORTHOCLADIUS_ANNECTENS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","orthocladius","orthocladius_annectens","GATHERER",6,NA,NA,"FACULTATIVE",NA,"CRICOTOPUS_SP._4",NA,"109"
"53","CRICOTOPUS_SYLVESTRIS_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","cricotopus","cricotopus_sylvestris","SCRAPER",7,NA,NA,"FACULTATIVE",NA,"CRICOTOPUS_SP._5",NA,"106107"
"54","CRICOTOPUS_INTERSECTUS_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","cricotopus","cricotopus_intersectus","SHREDDER",7,NA,NA,"FACULTATIVE",NA,"CRICOTOPUS_SP._7",NA,"106107"
"55","PARACHIRONOMUS_ABORTIVUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","parachironomus","parachironomus_abortivus","PREDATOR",10,NA,NA,"TOLERANT",NA,"CRYPTOCHIRONOMUS_ABORTIVUS",NA,"106"
"56","CRYPTOCHIRONOMUS_FULVUS_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","cryptochironomus","cryptochironomus_fulvus","PREDATOR",8,5,6,"TOLERANT",NA,"CRYPTOCHIRONOMUS_SP._1,_CRYPTOCHIRONOMUS_SP.",NA,"32"
"57","DUGESIA_SP.","PLATYHELMINTHES","TREPAXONEMATA","NEOOPHORA","DUGESIIDAE","DUGESIIDAE","dugesia","NA","PREDATOR",6,NA,NA,"FACULTATIVE",NA,"CURA_FOREMANII",NA,"62"
"58","DEMICRYPTOCHIRONOMUS_CUNEATUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","demicryptochironomus","demicryptochironomus_cuneatus","GATHERER",8,NA,NA,"TOLERANT",NA,"DEMICRYPTOCHIRONOMUS_SP._2",NA,"124"
"59","DIAMESA_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","DIAMESINAE","diamesa","NA","GATHERER",5,10,10,"FACULTATIVE",NA,"DIAMESA_SPP.",NA,"124"
"60","DICROTENDIPES_FUMIDUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","dicrotendipes","dicrotendipes_fumidus","GATHERER",8,NA,NA,"TOLERANT",NA,"DICROTENDIPES_LEUCOSCELIS",NA,"35"
"61","DICROTENDIPES_LUCIFER","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","dicrotendipes","dicrotendipes_lucifer","GATHERER",8,NA,NA,"TOLERANT",NA,"DICROTENDIPES_NERVOSUS_TYPE_I,_DICROTENDIPES_NERVOSUS,_DICROTENDIPES_SP._1",NA,"35"
"62","DICROTENDIPES_SIMPSONI","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","dicrotendipes","dicrotendipes_simpsoni","GATHERER",8,NA,NA,"TOLERANT",NA,"DICROTENDIPES_NERVOSUS_TYPE_II,_EINFELDIA_SP.",NA,"35"
"63","DICROTENDIPES_NEOMODESTUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","dicrotendipes","dicrotendipes_neomodestus","GATHERER",8,10,4,"TOLERANT",NA,"DICROTENDIPES_SP._2",NA,"35"
"64","DIPLOCLADIUS_CULTRIGER","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","diplocladius","diplocladius_cultriger","GATHERER",8,NA,NA,"TOLERANT",NA,"DIPLOCLADIUS_SP.",NA,"124,36"
